isotope,protein_name,type
Event_length,Event_length,phenotype
In113Di,CD235ab_CD61,phenotype
In115Di,CD45,phenotype
La139Di,CD66,phenotype
Pr141Di,CD7,phenotype
Nd142Di,CD19,phenotype
Nd143Di,CD45RA,phenotype
Nd144Di,CD11b,phenotype
Nd145Di,CD4,phenotype
Nd146Di,CD8a,phenotype
Sm147Di,CD11c,phenotype
Nd148Di,CD123,phenotype
Sm149Di,pCREB,function
Sm150Di,pSTAT5,function
Eu151Di,pP38,function
Sm152Di,TCRgd,phenotype
Eu153Di,pSTAT1,function
Sm154Di,pSTAT3,function
Gd155Di,prpS6,function
Gd158Di,CD33,phenotype
Tb159Di,pMAPKAPK,function
Gd160Di,Tbet2,phenotype
Dy162Di,FoxP3,phenotype
Dy164Di,IkB,function
Ho165Di,CD16,phenotype
Er166Di,pNFkB,function
Er167Di,pERK1_2,function
Tm169Di,CD25,phenotype
Er170Di,CD3,phenotype
Yb172Di,CD15,phenotype
Yb174Di,HLA-DR,phenotype
Lu175Di,CD14,phenotype
Yb176Di,CD56,phenotype
Ir191Di,DNA1,phenotype
Ir193Di,DNA2,phenotype
